SATISFACTION_LEVEL,LAST_EVALUATION,NUMBER_PROJECT,AVERAGE_MONTLY_HOURS,TIME_SPEND_COMPANY,WORK_ACCIDENT,QUIT_THE_COMPANY,PROMOTION_LAST_5YEARS,DEPARTMENTS,SALARY,EMPLOYEE_ID,ABSENTEEISM,JOB_ROLE,MANAGER_FEEDBACK_SCORE,REMOTE_WORK,ENGAGEMENT_SCORE
0.53,0.91,5.0,181,3.0,0.0,0,0,sales,low,EMP13333,4,Sales Executive,7.7,0,0.65
0.88,0.91,4.0,233,4.0,0.0,0,0,technical,high,EMP11137,2,Software Engineer,9.4,0,0.91
0.79,0.84,3.0,176,3.0,0.0,0,0,support,low,EMP02185,8,Customer Support,7.5,0,0.77
0.51,0.92,3.0,224,3.0,0.0,0,0,accounting,medium,EMP02520,5,Financial Analyst,6.7,0,0.59
0.91,0.74,6.0,253,2.0,0.0,0,0,technical,low,EMP07521,5,Software Engineer,7.5,0,0.83
0.40,0.46,2.0,130,3.0,0.0,1,0,sales,low,EMP14531,15,Sales Executive,3.2,0,0.36
0.92,0.85,5.0,259,5.0,0.0,1,0,sales,low,EMP12008,4,Sales Executive,9.8,0,0.95
0.24,0.50,4.0,282,4.0,1.0,0,0,support,low,EMP13449,16,Customer Support,3.0,0,0.27
0.55,0.97,4.0,267,4.0,0.0,0,0,management,medium,EMP08305,4,Operations Manager,6.1,0,0.58
0.77,1.00,5.0,229,5.0,0.0,1,0,management,low,EMP12443,5,Operations Manager,6.1,0,0.69
0.39,0.56,2.0,142,3.0,0.0,1,0,accounting,low,EMP14291,18,Financial Analyst,3.3,0,0.36
0.90,0.96,4.0,258,5.0,0.0,1,0,technical,medium,EMP14325,1,Software Engineer,8.9,0,0.90
0.48,0.93,3.0,219,6.0,0.0,1,0,technical,low,EMP00352,19,Software Engineer,3.0,1,0.39
0.78,0.66,4.0,214,2.0,0.0,0,0,technical,low,EMP04257,0,Software Engineer,6.9,1,0.74
0.81,0.52,4.0,270,3.0,0.0,0,0,RandD,medium,EMP03734,3,Research Scientist,9.5,1,0.88
0.55,0.65,4.0,170,4.0,0.0,0,0,sales,low,EMP04442,9,Sales Executive,3.9,1,0.47
0.82,0.59,5.0,201,3.0,0.0,0,0,RandD,low,EMP02590,2,Research Scientist,9.7,0,0.90
0.66,0.95,5.0,192,7.0,0.0,0,0,sales,medium,EMP13835,8,Sales Executive,7.7,0,0.72
0.63,0.43,2.0,222,4.0,0.0,0,0,product_mng,high,EMP07016,2,Product Manager,6.0,1,0.62
0.55,0.76,4.0,257,3.0,0.0,0,0,support,medium,EMP07531,5,Customer Support,4.9,1,0.52
0.33,0.41,2.0,198,4.0,0.0,0,0,technical,medium,EMP11878,9,Software Engineer,4.1,0,0.37
0.96,0.74,5.0,244,2.0,1.0,0,0,IT,low,EMP09072,3,IT Support,8.9,0,0.92
0.71,0.72,3.0,271,2.0,0.0,0,0,support,low,EMP10842,8,Customer Support,5.0,1,0.60
0.70,0.67,4.0,181,3.0,0.0,0,0,accounting,medium,EMP03617,9,Financial Analyst,6.7,0,0.68
0.63,0.78,4.0,275,3.0,0.0,0,0,support,low,EMP12870,9,Customer Support,6.8,1,0.66
0.73,0.95,4.0,223,6.0,0.0,1,0,support,low,EMP01347,5,Customer Support,6.5,0,0.69
0.53,0.47,6.0,106,6.0,0.0,0,0,management,high,EMP11815,6,Operations Manager,6.2,1,0.57
0.43,0.57,2.0,159,3.0,1.0,1,0,technical,low,EMP14990,13,Software Engineer,4.6,1,0.44
0.44,0.51,2.0,219,4.0,0.0,0,0,sales,low,EMP13322,14,Sales Executive,4.9,1,0.46
0.75,0.60,4.0,186,10.0,1.0,0,0,marketing,low,EMP13405,4,Marketing Analyst,7.0,0,0.72
0.84,0.72,4.0,222,2.0,0.0,0,0,IT,low,EMP07922,9,IT Support,9.5,1,0.90
0.51,1.00,3.0,168,3.0,1.0,0,0,RandD,medium,EMP06254,8,Research Scientist,5.3,0,0.52
0.59,0.69,3.0,186,3.0,0.0,0,0,technical,low,EMP03951,1,Software Engineer,5.7,1,0.58
0.85,0.96,3.0,211,2.0,0.0,0,0,product_mng,low,EMP05565,4,Product Manager,8.5,0,0.85
0.50,0.67,2.0,142,3.0,0.0,0,0,technical,low,EMP08742,5,Software Engineer,5.0,0,0.50
0.32,0.65,2.0,183,3.0,0.0,0,0,sales,low,EMP09482,16,Sales Executive,3.0,0,0.31
0.71,0.68,3.0,231,2.0,1.0,0,0,product_mng,low,EMP11886,4,Product Manager,7.5,0,0.73
0.87,0.49,2.0,251,3.0,0.0,0,0,sales,medium,EMP06718,8,Sales Executive,7.8,0,0.82
0.70,0.88,3.0,166,5.0,0.0,0,0,technical,low,EMP03211,0,Software Engineer,6.1,0,0.66
0.63,0.71,5.0,141,2.0,0.0,0,0,RandD,medium,EMP06180,6,Research Scientist,6.9,1,0.66
0.89,0.96,4.0,219,6.0,0.0,1,0,product_mng,medium,EMP01749,6,Product Manager,9.9,0,0.94
0.60,0.96,4.0,99,6.0,0.0,0,0,RandD,medium,EMP06181,3,Research Scientist,6.4,1,0.62
0.68,0.97,3.0,174,2.0,0.0,0,0,support,low,EMP13271,8,Customer Support,6.2,0,0.65
0.59,0.93,3.0,265,3.0,1.0,0,0,sales,low,EMP03985,3,Sales Executive,7.1,1,0.65
0.45,0.57,2.0,158,3.0,0.0,1,0,sales,low,EMP00170,6,Sales Executive,4.9,0,0.47
1.00,0.76,6.0,246,3.0,1.0,0,1,support,medium,EMP04554,2,Customer Support,9.8,1,0.99
0.82,0.76,3.0,174,3.0,0.0,0,0,sales,medium,EMP08856,8,Sales Executive,9.2,0,0.87
0.85,0.96,5.0,165,5.0,0.0,0,0,technical,medium,EMP08586,7,Software Engineer,7.9,1,0.82
0.74,0.75,4.0,169,4.0,0.0,0,0,IT,low,EMP10292,0,IT Support,7.7,0,0.76
0.51,0.58,5.0,173,3.0,0.0,0,0,support,low,EMP08064,6,Customer Support,7.7,1,0.64
0.74,0.37,6.0,200,3.0,0.0,0,0,product_mng,low,EMP04266,8,Product Manager,7.9,1,0.76
0.50,0.71,5.0,210,5.0,0.0,0,0,technical,medium,EMP04005,7,Software Engineer,4.6,0,0.48
0.69,0.53,4.0,156,3.0,0.0,0,0,support,low,EMP06162,5,Customer Support,6.8,0,0.68
0.61,0.83,4.0,153,2.0,0.0,0,0,technical,low,EMP13255,3,Software Engineer,7.0,1,0.66
0.94,0.64,5.0,247,10.0,0.0,0,0,sales,medium,EMP13849,7,Sales Executive,9.5,1,0.94
0.52,0.64,5.0,258,2.0,0.0,0,0,support,medium,EMP03026,2,Customer Support,4.6,0,0.49
0.90,0.60,4.0,252,3.0,0.0,0,0,support,low,EMP03942,8,Customer Support,8.3,0,0.86
0.66,0.91,5.0,248,4.0,0.0,1,0,management,low,EMP01990,1,Operations Manager,6.8,0,0.67
0.67,0.54,2.0,141,2.0,0.0,0,0,sales,low,EMP02158,1,Sales Executive,6.7,0,0.67
0.79,0.83,3.0,126,10.0,1.0,0,0,support,low,EMP13443,6,Customer Support,8.4,1,0.82
0.89,0.55,3.0,260,2.0,0.0,0,0,RandD,low,EMP07325,3,Research Scientist,10.0,0,0.94
0.98,0.67,3.0,190,10.0,0.0,0,0,IT,medium,EMP13474,9,IT Support,8.3,1,0.90
0.70,0.98,4.0,146,3.0,0.0,0,0,marketing,low,EMP06114,7,Marketing Analyst,7.7,0,0.74
0.39,0.50,2.0,147,3.0,0.0,1,0,marketing,low,EMP00150,16,Marketing Analyst,4.0,0,0.40
0.72,0.93,4.0,174,2.0,0.0,0,0,sales,low,EMP04376,4,Sales Executive,8.4,0,0.78
0.78,0.66,4.0,258,3.0,0.0,0,0,sales,low,EMP09030,7,Sales Executive,8.2,0,0.80
0.99,0.65,3.0,209,2.0,1.0,0,0,support,low,EMP08248,3,Customer Support,10.0,1,1.00
0.82,0.55,3.0,207,2.0,0.0,0,0,marketing,high,EMP08405,0,Marketing Analyst,10.0,0,0.91
0.10,0.95,6.0,256,4.0,0.0,1,0,technical,medium,EMP01036,14,Software Engineer,1.0,1,0.10
0.99,0.77,5.0,222,2.0,0.0,0,0,accounting,medium,EMP06364,9,Financial Analyst,8.4,0,0.92
0.92,0.91,4.0,222,2.0,0.0,0,0,support,low,EMP02190,8,Customer Support,9.4,0,0.93
0.33,0.94,4.0,166,6.0,0.0,0,0,technical,low,EMP05226,16,Software Engineer,4.4,0,0.38
0.85,0.48,2.0,208,4.0,0.0,0,0,technical,medium,EMP09738,8,Software Engineer,6.8,0,0.76
0.58,0.92,3.0,232,5.0,0.0,0,0,marketing,medium,EMP07640,9,Marketing Analyst,4.9,1,0.54
0.22,0.53,4.0,244,2.0,0.0,0,0,support,medium,EMP02184,13,Customer Support,1.1,0,0.16
0.81,0.93,5.0,265,6.0,0.0,1,0,technical,low,EMP01723,7,Software Engineer,7.7,0,0.79
0.87,0.90,5.0,254,6.0,0.0,1,0,support,low,EMP12205,3,Customer Support,8.9,0,0.88
0.65,0.52,4.0,266,3.0,1.0,0,0,IT,medium,EMP05328,0,IT Support,5.6,0,0.60
0.93,0.53,5.0,198,3.0,0.0,0,0,sales,low,EMP02082,0,Sales Executive,7.9,0,0.86
0.94,0.69,3.0,164,2.0,0.0,0,0,IT,low,EMP07094,3,IT Support,10.0,1,0.97
0.37,0.54,2.0,132,3.0,0.0,1,0,technical,low,EMP14805,12,Software Engineer,5.2,0,0.44
0.83,0.85,4.0,261,3.0,0.0,0,0,technical,low,EMP04411,7,Software Engineer,8.5,1,0.84
0.67,0.58,4.0,158,3.0,0.0,0,0,support,medium,EMP09852,5,Customer Support,7.0,0,0.68
0.72,0.71,3.0,242,2.0,0.0,0,0,technical,medium,EMP06832,8,Software Engineer,8.5,0,0.78
0.98,0.57,3.0,198,3.0,0.0,0,0,sales,medium,EMP03070,1,Sales Executive,9.4,0,0.96
0.34,0.81,3.0,257,5.0,0.0,0,0,accounting,low,EMP05831,15,Financial Analyst,3.4,0,0.34
0.60,0.45,3.0,173,2.0,0.0,0,0,sales,low,EMP06348,0,Sales Executive,7.4,0,0.67
0.40,0.47,2.0,144,3.0,1.0,1,0,sales,low,EMP01770,5,Sales Executive,4.1,1,0.40
0.72,0.98,4.0,156,3.0,0.0,0,0,product_mng,medium,EMP11090,4,Product Manager,6.5,1,0.68
0.70,0.52,5.0,200,2.0,1.0,0,0,IT,low,EMP09605,3,IT Support,7.7,1,0.74
0.75,0.57,5.0,162,3.0,0.0,0,0,accounting,medium,EMP03845,8,Financial Analyst,8.0,0,0.78
0.76,0.83,6.0,293,6.0,0.0,1,0,support,low,EMP01958,7,Customer Support,8.2,0,0.79
0.87,0.84,5.0,231,5.0,0.0,1,0,IT,low,EMP12292,5,IT Support,7.9,1,0.83
0.76,0.67,5.0,243,3.0,0.0,0,0,sales,low,EMP11115,1,Sales Executive,7.6,0,0.76
0.75,0.70,4.0,179,2.0,0.0,0,0,marketing,low,EMP08021,1,Marketing Analyst,8.3,0,0.79
0.42,0.52,2.0,151,3.0,0.0,1,0,sales,medium,EMP00933,16,Sales Executive,3.7,0,0.40
0.80,0.70,6.0,231,4.0,0.0,0,0,technical,medium,EMP03546,4,Software Engineer,6.4,1,0.72
0.14,0.41,6.0,114,3.0,0.0,0,0,sales,low,EMP07507,13,Sales Executive,1.0,0,0.12
0.82,0.71,2.0,209,5.0,0.0,0,1,marketing,medium,EMP11407,5,Marketing Analyst,8.0,0,0.81
0.37,0.57,2.0,130,3.0,0.0,1,0,sales,low,EMP00089,16,Sales Executive,4.3,1,0.40
0.40,0.46,2.0,143,3.0,0.0,1,0,technical,high,EMP14635,5,Software Engineer,3.8,1,0.39
0.81,0.62,4.0,153,4.0,0.0,0,0,RandD,low,EMP13123,9,Research Scientist,6.9,1,0.75
0.79,0.92,5.0,254,6.0,0.0,1,0,sales,low,EMP00252,2,Sales Executive,8.9,0,0.84
0.79,0.86,5.0,235,5.0,0.0,1,0,support,medium,EMP12657,5,Customer Support,9.6,0,0.88
0.52,0.98,4.0,265,3.0,0.0,0,0,product_mng,medium,EMP10599,7,Product Manager,6.8,0,0.60
0.92,0.68,4.0,138,7.0,0.0,0,0,sales,medium,EMP11677,0,Sales Executive,10.0,0,0.96
0.66,0.52,3.0,149,4.0,1.0,0,0,sales,medium,EMP02994,0,Sales Executive,7.5,0,0.70
0.94,0.85,4.0,236,2.0,0.0,0,0,marketing,medium,EMP04815,1,Marketing Analyst,7.3,1,0.84
0.94,0.90,5.0,191,4.0,0.0,0,0,support,low,EMP02345,5,Customer Support,9.6,0,0.95
0.74,0.50,4.0,265,3.0,0.0,0,0,technical,medium,EMP04082,8,Software Engineer,6.9,0,0.72
0.94,0.78,4.0,211,3.0,0.0,0,0,support,medium,EMP09215,3,Customer Support,10.0,0,0.97
0.92,0.97,4.0,201,2.0,0.0,0,0,sales,medium,EMP08413,2,Sales Executive,6.7,1,0.80
0.81,0.90,4.0,165,3.0,0.0,0,0,RandD,medium,EMP04194,7,Research Scientist,8.3,0,0.82
0.98,0.79,4.0,138,3.0,0.0,0,0,accounting,low,EMP04610,9,Financial Analyst,9.6,0,0.97
0.87,0.98,4.0,248,5.0,0.0,1,0,sales,low,EMP12254,8,Sales Executive,9.8,0,0.92
0.54,0.65,5.0,206,4.0,1.0,0,0,sales,low,EMP08642,4,Sales Executive,6.9,0,0.62
0.97,0.79,5.0,259,3.0,0.0,0,1,support,medium,EMP13613,8,Customer Support,8.8,1,0.92
0.11,0.77,6.0,247,4.0,0.0,1,0,technical,medium,EMP01870,7,Software Engineer,1.0,0,0.11
0.52,0.96,3.0,271,3.0,1.0,0,0,technical,medium,EMP12932,2,Software Engineer,5.4,1,0.53
0.45,0.51,2.0,155,3.0,1.0,1,0,sales,medium,EMP01471,9,Sales Executive,6.2,0,0.54
0.92,0.94,5.0,248,3.0,0.0,0,0,technical,medium,EMP02883,6,Software Engineer,9.3,0,0.92
0.12,0.93,6.0,257,6.0,1.0,0,0,RandD,low,EMP03129,11,Research Scientist,1.0,1,0.11
0.65,0.48,4.0,229,3.0,0.0,0,0,RandD,high,EMP07477,5,Research Scientist,5.9,0,0.62
0.83,0.99,5.0,258,5.0,0.0,1,0,support,high,EMP00736,1,Customer Support,8.5,1,0.84
0.57,0.76,3.0,195,3.0,0.0,0,0,technical,medium,EMP04563,5,Software Engineer,5.0,1,0.53
0.31,0.53,2.0,146,3.0,1.0,0,0,support,low,EMP08523,13,Customer Support,2.5,0,0.28
0.76,0.63,3.0,198,3.0,0.0,0,0,RandD,low,EMP10453,1,Research Scientist,8.7,0,0.82
0.72,0.50,3.0,257,6.0,0.0,0,0,IT,low,EMP02125,0,IT Support,6.4,1,0.68
0.85,0.89,4.0,150,3.0,0.0,0,0,accounting,high,EMP11972,4,Financial Analyst,8.0,0,0.82
0.99,0.54,3.0,247,3.0,0.0,0,0,RandD,medium,EMP09691,1,Research Scientist,9.4,0,0.97
0.90,0.86,5.0,254,5.0,0.0,1,0,sales,high,EMP01087,1,Sales Executive,7.4,0,0.82
0.43,0.47,2.0,147,3.0,0.0,1,0,support,low,EMP12050,7,Customer Support,3.4,0,0.38
0.21,0.52,5.0,130,2.0,0.0,0,0,IT,low,EMP03116,19,IT Support,3.3,0,0.27
0.56,0.51,4.0,140,2.0,0.0,0,0,sales,low,EMP06665,9,Sales Executive,4.4,0,0.50
0.77,0.91,5.0,236,5.0,0.0,1,0,marketing,medium,EMP12543,7,Marketing Analyst,6.7,1,0.72
0.53,0.64,3.0,143,2.0,0.0,0,0,sales,low,EMP13413,3,Sales Executive,4.0,0,0.46
0.83,0.99,4.0,223,5.0,0.0,1,0,accounting,medium,EMP00765,0,Financial Analyst,8.2,0,0.82
0.85,0.81,2.0,223,3.0,1.0,0,0,product_mng,low,EMP05872,6,Product Manager,10.0,0,0.92
0.97,0.63,5.0,258,2.0,0.0,0,0,IT,medium,EMP13191,0,IT Support,9.6,1,0.96
0.91,0.75,4.0,159,3.0,1.0,0,0,support,low,EMP13024,7,Customer Support,8.3,0,0.87
0.69,0.82,4.0,137,2.0,1.0,0,0,technical,low,EMP08740,5,Software Engineer,8.1,1,0.75
0.24,0.94,6.0,144,4.0,0.0,0,0,product_mng,low,EMP11255,19,Product Manager,2.5,0,0.24
0.86,0.91,4.0,253,3.0,0.0,0,0,IT,low,EMP11071,8,IT Support,10.0,0,0.93
0.70,0.63,3.0,209,3.0,0.0,0,0,technical,low,EMP05225,4,Software Engineer,8.3,1,0.76
0.52,0.82,3.0,170,3.0,0.0,0,0,RandD,low,EMP10456,9,Research Scientist,5.1,1,0.52
0.66,0.65,5.0,161,3.0,0.0,0,0,support,medium,EMP02877,3,Customer Support,6.5,1,0.66
0.76,0.89,5.0,262,5.0,0.0,1,0,sales,low,EMP14231,4,Sales Executive,9.2,0,0.84
0.98,0.96,5.0,183,3.0,1.0,0,0,accounting,medium,EMP06211,9,Financial Analyst,9.9,0,0.98
0.97,0.57,3.0,144,3.0,0.0,0,0,marketing,low,EMP08482,4,Marketing Analyst,10.0,1,0.98
0.79,0.56,3.0,149,10.0,0.0,0,0,product_mng,low,EMP13783,7,Product Manager,9.9,0,0.89
0.55,0.79,3.0,162,2.0,0.0,0,0,technical,low,EMP03403,9,Software Engineer,5.3,0,0.54
0.57,0.53,3.0,162,3.0,0.0,0,0,support,low,EMP09595,7,Customer Support,6.1,1,0.59
0.83,0.53,3.0,211,4.0,1.0,0,0,sales,low,EMP04368,1,Sales Executive,9.3,0,0.88
0.92,0.54,5.0,141,2.0,0.0,0,0,RandD,low,EMP02821,6,Research Scientist,10.0,1,0.96
0.82,0.98,5.0,234,5.0,0.0,1,0,marketing,medium,EMP12465,7,Marketing Analyst,9.0,1,0.86
0.44,0.65,2.0,151,3.0,0.0,0,0,RandD,medium,EMP07252,13,Research Scientist,3.1,0,0.38
0.13,0.52,6.0,188,3.0,0.0,0,0,sales,medium,EMP07873,9,Sales Executive,1.0,0,0.12
0.98,0.58,4.0,133,3.0,0.0,0,0,sales,low,EMP13567,8,Sales Executive,9.3,1,0.96
0.66,0.49,4.0,157,3.0,0.0,0,0,sales,low,EMP13514,2,Sales Executive,7.8,1,0.72
0.82,0.84,5.0,244,5.0,0.0,1,0,sales,low,EMP12322,9,Sales Executive,7.0,0,0.76
0.77,0.78,3.0,165,2.0,0.0,0,0,sales,low,EMP06652,8,Sales Executive,8.5,0,0.81
0.47,0.49,2.0,112,3.0,1.0,0,0,support,medium,EMP09825,8,Customer Support,5.9,0,0.53
0.73,0.50,3.0,208,2.0,0.0,0,0,sales,medium,EMP05354,6,Sales Executive,7.4,1,0.74
0.70,0.88,4.0,245,2.0,0.0,0,0,support,low,EMP06313,1,Customer Support,7.3,0,0.72
0.48,0.59,2.0,179,2.0,0.0,0,0,technical,low,EMP03708,11,Software Engineer,5.1,1,0.50
0.91,0.77,3.0,144,3.0,0.0,0,0,sales,medium,EMP11365,8,Sales Executive,8.8,0,0.90
0.78,0.74,6.0,251,4.0,0.0,0,0,technical,low,EMP06076,6,Software Engineer,7.9,1,0.78
0.13,0.65,4.0,194,4.0,0.0,0,0,support,medium,EMP04203,11,Customer Support,2.3,0,0.18
0.54,0.83,4.0,201,8.0,1.0,0,0,sales,medium,EMP13337,2,Sales Executive,4.2,0,0.48
0.43,0.82,2.0,221,5.0,0.0,0,0,sales,medium,EMP08958,5,Sales Executive,5.8,0,0.50
0.54,0.81,4.0,257,2.0,0.0,0,0,support,low,EMP04405,3,Customer Support,6.4,0,0.59
0.83,0.67,3.0,175,3.0,0.0,0,0,product_mng,medium,EMP11526,4,Product Manager,7.3,1,0.78
0.61,0.38,2.0,268,3.0,0.0,0,0,sales,low,EMP08192,2,Sales Executive,6.5,0,0.63
0.91,0.80,4.0,181,3.0,0.0,0,0,sales,low,EMP04985,2,Sales Executive,10.0,0,0.96
0.34,0.82,6.0,197,5.0,1.0,0,0,technical,medium,EMP03036,13,Software Engineer,2.2,0,0.28
0.91,1.00,4.0,253,5.0,1.0,1,0,technical,medium,EMP01740,6,Software Engineer,9.1,0,0.91
0.15,0.75,3.0,150,4.0,0.0,0,1,accounting,medium,EMP11401,17,Financial Analyst,1.4,0,0.14
0.97,0.55,5.0,212,6.0,0.0,0,0,sales,high,EMP13424,0,Sales Executive,9.1,0,0.94
0.51,0.55,2.0,102,7.0,0.0,0,1,management,medium,EMP11274,1,Operations Manager,5.2,1,0.52
0.58,0.55,5.0,206,3.0,0.0,0,0,technical,medium,EMP02326,3,Software Engineer,5.2,1,0.55
0.25,0.65,3.0,264,4.0,0.0,0,0,management,low,EMP03060,10,Operations Manager,3.9,0,0.32
0.76,0.50,4.0,136,3.0,0.0,0,0,marketing,medium,EMP07488,1,Marketing Analyst,8.4,1,0.80
0.74,0.94,3.0,132,3.0,0.0,0,0,accounting,medium,EMP04230,3,Financial Analyst,5.7,0,0.66
0.72,0.63,3.0,176,3.0,1.0,0,0,technical,low,EMP02141,0,Software Engineer,7.0,1,0.71
0.59,0.48,3.0,197,3.0,0.0,0,0,product_mng,medium,EMP13288,1,Product Manager,5.9,0,0.59
0.90,0.85,4.0,279,6.0,0.0,0,0,support,medium,EMP07078,0,Customer Support,8.8,0,0.89
0.28,0.92,3.0,151,3.0,0.0,0,0,sales,low,EMP09252,7,Sales Executive,2.4,0,0.26
0.62,0.67,2.0,153,3.0,0.0,0,0,marketing,low,EMP03435,9,Marketing Analyst,5.5,0,0.58
0.83,0.68,4.0,198,3.0,0.0,0,0,marketing,medium,EMP07793,3,Marketing Analyst,9.1,1,0.87
0.40,0.49,2.0,160,3.0,0.0,1,0,marketing,low,EMP01985,12,Marketing Analyst,5.0,0,0.45
0.84,0.62,5.0,217,3.0,0.0,0,0,sales,low,EMP04297,6,Sales Executive,8.3,0,0.84
0.92,0.66,4.0,113,3.0,0.0,0,0,technical,low,EMP10952,9,Software Engineer,8.1,0,0.86
0.98,0.50,4.0,207,3.0,0.0,0,0,marketing,low,EMP02985,8,Marketing Analyst,10.0,1,0.99
0.65,0.99,5.0,240,5.0,0.0,0,0,RandD,medium,EMP08395,8,Research Scientist,5.6,1,0.60
0.61,0.74,3.0,160,3.0,0.0,0,0,marketing,medium,EMP10235,9,Marketing Analyst,4.1,1,0.51
0.83,1.00,5.0,240,5.0,0.0,1,0,support,low,EMP12157,0,Customer Support,8.1,0,0.82
0.69,0.57,4.0,227,4.0,0.0,0,0,support,medium,EMP04099,5,Customer Support,7.9,0,0.74
0.78,0.77,2.0,177,4.0,0.0,0,0,support,low,EMP08094,1,Customer Support,8.4,0,0.81
0.98,0.44,4.0,154,6.0,1.0,0,0,sales,medium,EMP13767,7,Sales Executive,10.0,0,0.99
0.85,0.74,5.0,170,4.0,0.0,0,0,IT,low,EMP05873,8,IT Support,8.2,1,0.84
0.92,0.58,5.0,205,2.0,1.0,0,0,management,medium,EMP09930,3,Operations Manager,10.0,0,0.96
0.52,0.82,3.0,138,2.0,1.0,0,0,support,medium,EMP07840,4,Customer Support,7.1,0,0.62
0.96,0.91,5.0,179,2.0,0.0,0,0,support,high,EMP09748,2,Customer Support,9.2,0,0.94
0.40,0.57,2.0,151,3.0,0.0,1,0,support,low,EMP14995,12,Customer Support,3.1,0,0.36
0.92,0.98,3.0,149,3.0,0.0,0,0,support,medium,EMP10895,2,Customer Support,8.8,1,0.90
0.33,0.65,3.0,172,10.0,0.0,0,1,marketing,high,EMP14210,15,Marketing Analyst,3.4,1,0.34
0.84,0.43,6.0,246,4.0,0.0,0,0,technical,medium,EMP02026,6,Software Engineer,7.5,0,0.80
0.66,0.71,3.0,136,3.0,1.0,0,0,technical,medium,EMP05002,7,Software Engineer,6.3,1,0.64
0.90,1.00,5.0,221,6.0,0.0,1,0,sales,medium,EMP00100,4,Sales Executive,8.5,0,0.88
0.95,0.98,5.0,155,3.0,0.0,0,0,accounting,low,EMP03209,6,Financial Analyst,9.8,0,0.97
0.65,0.37,3.0,170,6.0,0.0,0,0,IT,low,EMP13549,9,IT Support,6.9,1,0.67
0.38,0.57,2.0,140,3.0,0.0,1,0,support,low,EMP12132,7,Customer Support,5.1,0,0.44
